Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,age,Number of neighbors sitting around you?,Did you stand up?,"You can get _еµ_„ 100 if you win a local DM competition, or we don‰ЫЎ_З____С___t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would get then?",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4/3/17 15:50,AI,yes,yes,unknown,no,male,neither,3/7/91,26,1,no,10,8,1:00,sdf,sdf
4/3/17 15:50,Finance,no,unknown,mu,no,male,fat,2/12/90,27,5,no,0.3,2,10:30,sun,beer
4/3/17 15:50,AI,yes,yes,mu,yes,male,unknown,3/9/91,26,4,no,,1,0:30,Sleep late,Donuts
4/3/17 15:50,AI,yes,yes,mu,yes,male,neither,1/1/70,47,200,no,0,456,1:02,good food,no programming errors
4/3/17 15:50,CS,yes,no,mu,no,male,neither,19/01/1991,26,4,no,100,19,2:00,Movie,Sleep
4/3/17 15:51,BA,yes,yes,mu,yes,male,other,27-11-1990,27,1,no,0.25,,3:00,Food,Sleep
4/3/17 15:51,Bio,no,yes,mu,yes,male,fat,30.4.1990,27,1,no,60,5,23:00,SUN,football
4/3/17 15:51,BA,yes,yes,mu,yes,male,fat,2-Apr-94,23,5,no,0.3,66,0:00,Food,Positivity
4/3/17 15:51,Other,yes,no,mu,yes,female,other,19-04-1990,27,0,no,0.12,19,0:00,Good breakfast,Good dinner
4/3/17 15:51,CS ,no,no,mu,no,unknown,slim,15/08/1993,24,2,no,100,150,0:00,566,46555
4/3/17 15:51,Bio,yes,no,mu,yes,female,slim,14/07/1995,22,1,no,0.33,66,23:00,Chocolate,sunny
4/3/17 15:51,BA,yes,yes,mu,yes,unknown,neither,26-05-1990,27,1,no,1,69,1:00,Waking up,Dancing
4/3/17 15:51,AI,no,no,mu,yes,male,other,28/05/1990,27,4,no,0.16,7,0:00,sleep,snooze
4/3/17 15:51,LS,no,no,unknown,no,female,fat,22-12-1993,24,2,no,100,23,23:30,Netflix and food,Visiting family
4/3/17 15:51,AI,no,no,unknown,unknown,male,unknown,11 1,25,1,no,1,7,22:22,u,e
4/3/17 15:51,Econ,no,no,mu,no,male,other,July,25,2,no,0,34,0:00,Yes,No
4/3/17 15:52,AI,yes,yes,mu,yes,male,neither,27/03/1994,23,3,no,0,9,23:30,Sunny day,Not rainy
4/3/17 15:52,Bio,yes,no,mu,no,male,slim,17-03-1981,36,1,no,100,,0:00,unproper,again
4/3/17 15:52,LS,no,no,mu,yes,female,neither,9,25,5,no,50,4,23:00,complete all tasks planned,having lots of food to eat
4/3/17 15:52,AI,yes,yes,mu,yes,male,other,27-12-1990,27,1,no,0.3,31910,23:40,filling out nonsensical forms for a course,if i collect enough data
4/3/17 15:52,Econ,no,no,sigma,no,male,fat,17-05-1992,25,300,unknown,0,37578887443,23:45,Sunny weather,Being with friends
4/3/17 15:52,CS,no,no,sigma,yes,male,other,20/09/1994,23,4,no,100,42,,Pils,In de zon
4/3/17 15:52,AI,no,no,mu,no,male,other,2061987,25,1,no,100,36,16:00,sunshine,my stock goes up
4/3/17 15:52,Bio,yes,no,mu,yes,male,slim,11/6/94,23,2,no,100,7,2:00,A lot of sleep,Alcohol
4/3/17 15:52,AI,yes,yes,mu,yes,male,neither,10/1/93,24,2,no,100,265000234,,No one stealing my bike,No one stealing by back wheel
4/3/17 15:52,BA,yes,yes,mu,yes,female,fat,6/7/94,23,10,no,1,6,0:33,Gym session leg day,Cold but sunny weather
4/3/17 15:52,AI,no,no,unknown,unknown,male,unknown,11 1,25,1,no,1,7,22:22,ffg,hhfg
4/3/17 15:52,AI,no,no,mu,no,female,fat,13-03-1994,23,1,no,20,85,23:00,Sports,Sun
4/3/17 15:52,CS,unknown,no,unknown,yes,unknown,unknown,7/4/93,24,5,no,100,7,,Getting a 10 in this course.,Getting a 11 in this course.
4/3/17 15:53,BA,no,no,mu,no,female,unknown,10.12.1992,25,1,no,3,62,1:00,coffee,sun
4/3/17 15:53,BA,yes,yes,mu,yes,male,slim,17-11-1993,24,6,no,100,9,2:00,lachen,nog meer lachen
4/3/17 15:53,Other,no,yes,mu,yes,male,fat,17-07-1989,28,1,no,100,50,0:00,gymming and studies,hard work
4/3/17 15:53,Econ,no,no,mu,no,male,other,9/8/92,25,5,no,0.3,37,1:00,The sun,Good food
4/3/17 15:54,BA,yes,yes,mu,yes,male,fat,4/2/94,23,1,yes,100,21,23:30,Good weather,Good work
4/3/17 15:54,AI,yes,no,mu,no,male,other,3/8/94,23,1,no,5,44,1:15,Sleep,Sport
4/3/17 15:54,CS,yes,no,mu,no,male,fat,11-May,25,4,unknown,100,6674,23:59,No responsibilities,Nice Weather
4/3/17 15:54,Econ,no,yes,mu,yes,male,fat,26/02/1994,23,8,no,0.33,0.126422343,23:30,Good weather,Friends
4/3/17 15:54,Other,yes,yes,mu,yes,male,other,5/2/92,25,4,no,100,5,1:00,sleep till 10:00,No stress
4/3/17 15:54,AI,yes,yes,mu,yes,unknown,neither,4/9/94,23,5,no,0,16,,sun,"a lot of work (haha, just kidding? Or?)"
4/3/17 15:54,AI,no,yes,mu,no,female,neither,21-01-1988,29,6,no,1,73512,23:00,Coffee,Chocolade
4/3/17 15:54,Econ,no,yes,mu,no,male,other,28-12-1993,24,1,no,5,1,1:00,No,Yes
4/3/17 15:55,BA,yes,yes,mu,yes,male,fat,28-04-995,25,1,no,100,69,0:00,Bacon,Money
4/3/17 15:55,Econ,no,no,mu,no,male,other,2/7/93,24,2,no,0.47,5,0:00,Friends,Mathematics
4/3/17 15:55,CS,yes,unknown,unknown,yes,male,neither,China,25,300,no,,1,0:00,You,Not DM
4/3/17 15:55,Bio,yes,yes,unknown,yes,male,neither,7/8/91,26,6,no,8,28,1:30,Good food,Coffee
4/3/17 15:55,CS,yes,yes,unknown,yes,female,neither,25/09/1993,24,1,no,5,7,0:00,Sunny,Beer
4/3/17 15:55,BA,no,unknown,mu,no,unknown,other,29/01/1855,25,-1,unknown,100,,2:21,1,2
4/3/17 15:55,CS,no,yes,mu,yes,male,neither,20-02-1992,25,0,no,10,32,1:30,XTC,dancing
4/3/17 15:55,BA,no,no,sigma,no,male,fat,29/04/1994,23,0,no,5,1,23:00,Fun,Exercise
4/3/17 15:55,CS,yes,no,mu,yes,male,neither,30.12.1992,25,3,no,3,2,1:57,Food,Sleep
4/3/17 15:55,BA,yes,yes,sigma,yes,male,slim,1/9/95,22,1,no,40,4,23:00,A day with programming <3,A neural network which has too many nodes it's a black box
4/3/17 15:55,BA,no,no,mu,no,male,fat,5/7/90,27,0,no,0.8,10,0:06,sun,sex
4/3/17 15:55,BA,yes,yes,sigma,yes,male,other,2/2/94,23,2000,no,30,7,0:00,Sleep,Food
4/3/17 15:55,CS,no,no,mu,no,male,other,20-12-1700,25,5,no,0.3,9,23:30,sex,sun
4/3/17 15:55,BA,yes,unknown,mu,yes,male,fat,31-01-95,22,7,yes,0.29,2,2:00,Data mining hc,Data mining projects
4/3/17 15:55,AI,yes,yes,mu,yes,female,neither,1993,24,5,no,0.2,6,1:30,Sunshine,Friends
4/3/17 15:55,Other,no,no,sigma,no,male,neither,16/09/1991,26,11,no,,9,7:12,sun ,chill
4/3/17 15:55,Bio,no,yes,unknown,no,male,fat,21-02-1980,36,6,no,0.3333,2.3,22:15,Beer,Sex
4/3/17 15:55,BA,no,no,mu,yes,female,other,3-Jul,25,4,unknown,100,3,0:00,No class,Coffee in the morning 
4/3/17 15:55,LS,yes,no,mu,yes,male,other,29-07-1990,27,6,no,80,3.14,2:30,Apples and Oranges,Enough Sleep
4/3/17 15:55,Other,no,no,mu,no,female,fat,16-12-1990,27,1,no,0.7,4,12:00,Food,Sex
4/3/17 15:55,BA,yes,yes,sigma,yes,male,fat,5/7/95,22,1,no,100,5,0:30,Sunshine ,Kapsalondag
4/3/17 15:55,CS,no,no,mu,yes,male,neither,12/11/94,23,3,no,1,5,2:00,Holiday ,Traveling
4/3/17 15:55,Econ,no,no,mu,no,male,fat,24-12-1992,25,4,no,1,96,23:30,Beer,Music
4/3/17 15:55,LS,no,no,mu,no,female,slim,8/1/95,22,8,no,1,9,2:00,Waking up next to the SO,Having tea
4/3/17 15:55,Other,no,no,mu,yes,male,other,30/01,25,0,no,20,7,2:00,No rain ,Bike not broken 
4/3/17 15:55,LS,yes,no,unknown,no,male,other,18/02/1993,24,5,no,0.5,1,23:59,Coffee,Sleep
4/3/17 15:55,CS,no,unknown,mu,no,female,fat,28-08-1993,24,7,no,25,3,1:00,Sunny,Free
4/3/17 15:55,BA,yes,yes,mu,yes,female,other,2/11/92,25,300,no,10,4,4:00,sleep,food
4/3/17 15:55,CS,no,no,mu,no,male,fat,7/3/91,26,5,no,4,6,23:00,SEX,MONEY
4/3/17 15:55,Econ,yes,no,mu,no,male,neither,April,25,0,no,0.3,1,2:30,sun,sports
4/3/17 15:55,Other,no,no,mu,no,male,slim,14-06-1994,23,158,yes,,,,Bitches,Booze
4/3/17 15:55,Bio,yes,no,mu,no,female,fat,07.11.1989,28,1,no,1,7,1:30,Lots of sleep,Good food
4/3/17 15:55,Other,no,no,mu,no,male,neither,20-4-1994,23,6,no,0.3,42,1:00,weed,sex
4/3/17 15:55,Other,no,no,mu,no,male,slim,27/10,25,7,no,1,4,23:00,Sun,Running
4/3/17 15:55,AI,no,yes,mu,no,male,other,4/12/91,26,7,yes,25,87,1:00,sun,sunshine
4/3/17 15:55,BA,no,no,mu,no,female,neither,30.07.1993,24,5,no,16,3,23:30,sun (y/n),chocolate
4/3/17 15:55,BA,yes,yes,mu,yes,male,other,4/5/95,22,3,no,100,2,23:30,Beer,Sex
4/3/17 15:55,AI,no,no,mu,no,male,fat,3/11/93,24,3,no,60,2,1:30,Fun,Sport
4/3/17 15:55,BA,yes,yes,mu,yes,female,slim,26-12-2000,25,5,no,10,7,0:00,Sun,Sport
4/3/17 15:55,BA,yes,yes,mu,yes,female,other,12/21/91,26,4,no,1,8,0:00,Getting a good grade back,A sunny day when I can be outside
4/3/17 15:55,CS,no,no,mu,no,male,other,14-03-1990,27,5,no,0.3,5,0:00,Coffee!,And Sleep
4/3/17 15:55,CS,yes,yes,mu,yes,male,neither,19-09-1994,23,5,no,100,9,0:00,Monster,Chips
4/3/17 15:55,Econ,yes,no,mu,no,unknown,unknown,13-3-1996,21,0,unknown,100,3.1,0:00,Jesus,Girlfriend
4/3/17 15:55,AI,yes,yes,mu,yes,male,neither,30/10/1993,24,4,no,50,6,1:30,Good food,Sleep
4/3/17 15:55,BA,yes,yes,mu,yes,male,other,1993,24,3,no,0.5,3.6,0:00,hapiness ,sun
4/3/17 15:55,BA,yes,yes,mu,yes,male,other,2/2/90,27,3,no,100,6,7:12,Beer,Sex
4/3/17 15:55,CS,no,no,unknown,no,male,other,7-Mar-92,25,1,no,0.5,-1,23:00,Sleep,More sleep
4/3/17 15:55,Econ,yes,yes,mu,yes,male,other,15-07,25,4,no,1,8558963378,0:00,Sex,Beer
4/3/17 15:55,Econ,no,no,mu,no,male,other,7/3/95,22,2,no,100,10,0:15,Laughing,Being able to finish my work
4/3/17 15:55,AI,no,no,mu,no,female,fat,24/03/1993,24,5,no,0.5,1,1:00,Seeing friends ,Passing my exams 
4/3/17 15:55,AI,yes,yes,mu,yes,male,fat,19940906,23,7,no,0,6,1:45,Sun,Friends
4/3/17 15:55,BA,no,yes,mu,no,male,neither,15-10-1992,25,3,no,24,7,23:05,Driving a lamborghini,Winning the lottery
4/3/17 15:55,BA,yes,yes,mu,yes,male,fat,8/5/92,25,3,no,100,9,0:00,Weather,No lecture af 9 am
4/3/17 15:55,Finance,yes,no,mu,no,male,other,2/6/89,28,5,yes,0.5,7,1:00,Sleep,Good weather
4/3/17 15:55,Finance,no,no,mu,no,male,fat,22-06-1990,27,5,no,3,6,23:00,Nice weather,Good coffee
4/3/17 15:55,Other,no,no,mu,no,female,fat,20-11-1992,25,2,no,1,8,0:00,Good weather,No exams
4/3/17 15:55,Other,no,no,mu,no,male,fat,9/8/93,24,4,no,1,9,2:00,sushi,sander lam
4/3/17 15:55,AI,no,no,mu,unknown,male,neither,july 6th,25,1,no,50,8,23:00,Friends,Food
4/3/17 15:55,AI,yes,yes,mu,yes,male,neither,22-08-1994,23,4,no,1,7,0:00,Good grade,Ajax winning
4/3/17 15:55,Bio,yes,no,mu,no,female,other,3-Mar,25,8,no,10,7,1:00,good food,enough sleep
4/3/17 15:55,AI,yes,yes,unknown,unknown,male,other,11/8/89,28,1,no,,5,3:00,Spare time,Good weather
4/3/17 15:55,Bio,yes,no,unknown,no,female,fat,8-Dec,25,300,no,0.33,2,0:30,The sun shining,Having nice plans with friends
4/3/17 15:55,BA,yes,yes,mu,yes,male,fat,16-05,25,298,no,0.5,2,23:00,Beer,Sun
4/3/17 15:55,Other,no,no,mu,no,male,fat,25-11-1989,28,4,no,5,7,12:00,sun,no alarm 
4/3/17 15:55,AI,no,no,sigma,yes,male,neither,15/01/1980,36,3,yes,100,13,0:00,learning,relaxation
4/3/17 15:55,AI,yes,no,unknown,no,male,neither,10/11/91,26,3,unknown,0.3,6,11:55,Freedom,Liberation
4/3/17 15:55,BA,yes,yes,mu,yes,female,fat,18-07-1995,22,4,no,100,11,0:30,That Ajax beats Feyenoord.,That Max Verstappen wins a GP.
4/3/17 15:55,Econ,no,no,mu,no,female,neither,5-Apr,25,50,no,1,4,23:00,Good grades,Winning
4/3/17 15:55,BA,no,no,mu,no,female,fat,02.08.1994,23,1,no,0.3,56,1:56,Sun,Coffee
4/3/17 15:55,Econ,no,no,mu,no,male,fat,14-05-1993,24,7,no,1,8,3:00,sun,no obligations
4/3/17 15:55,Other,no,no,mu,no,male,unknown,1/1/90,27,2,no,100,6,0:00,Ajax wins,Barcelona loses
4/3/17 15:55,CS,yes,unknown,sigma,yes,male,neither,7/20/92,25,3,no,1,9,5:00,Good night's rest,Work/play balance
4/3/17 15:55,Econ,no,no,mu,no,male,other,17.09.,25,5,no,10,7,1:30,Waking up,Hot shower
4/3/17 15:55,AI,yes,yes,mu,yes,male,fat,28-Nov-94,23,3,no,0,6,2:00,Beer,Friends
4/3/17 15:55,Econ,no,no,mu,no,female,neither,19-06-1989,28,5,no,1,7.3,5:30,Gering a good graden back,Getting a wel deserved compliment
4/3/17 15:56,BA,no,no,mu,yes,female,fat,12-Feb,25,4,no,90,25,0:00,Text message,Nice weather 
4/3/17 15:56,BA,yes,yes,mu,yes,male,slim,adlk;jl112413,25,-1,unknown,100,3.14,,‰ЫЎ_З___г__Џ‰ЫЎ_З„а_µ_‰Ы_еК‰ЫЎ_З„а_____ц‰ЫЎ_З___г__Џ‰ЫЎ_З___г__У‰ЫЎ_З_Щ„Ѓ„Х__‰ЫЎ_З____е±‰ЫЎ_З„а_µ_‰Ы_еК‰ЫЎ_З___г__Џ,‰ЫЎ_З___г__Џ‰ЫЎ_З„а__Џ__ц‰ЫЎ_З_Щ„Ѓ„Х__‰ЫЎ_З___г‰Ы__ґ‰ЫЎ_З___г__Џ‰ЫЎ_З„а_µ_‰Ы_еК‰ЫЎ_З_Щ‰Ы__Ў_‰ЫЎ_З„а‰Ы__ґ_µ_С‰ЫЎ_З___г__Ф
4/3/17 15:56,CS,no,no,unknown,yes,male,neither,1/5/89,28,0,no,100,7,23:00,Rick and Morty ,Graduation 
4/3/17 15:56,BA,yes,no,mu,no,male,fat,22-08,25,4,no,3,1,2:00,Good night rest,No deadlines on that day
4/3/17 15:56,Other,no,no,mu,no,female,neither,13-09-1995,22,7,no,0,9,23:45,Good food,Good weather
4/3/17 15:56,AI,no,no,mu,no,female,fat,2/10/95,22,2,no,5,7,0:45,lot of sun,time to relax
4/3/17 15:56,CS,yes,yes,sigma,yes,male,other,19/08/1992,25,1,no,3,8,15:55,Halo,Friends
4/3/17 15:56,Other,no,no,mu,no,female,neither,16-10-1994,23,4,no,0,5,,Chocolate,Being social
4/3/17 15:56,BA,yes,no,mu,no,male,fat,10/8/90,27,300,no,100,9,23:59,Enough sleep,Sports
4/3/17 15:56,Bio,yes,unknown,mu,yes,female,slim,4/2/90,27,1,no,2,4,22:40,(Good) Food,Sun
4/3/17 15:56,Econ,no,no,mu,no,male,fat,3/3/87,30,4,no,55,3,2:00,I shorted GBP againt EUR successfully,Copped my pair favorite sneakers
4/3/17 15:56,BA,yes,unknown,mu,yes,female,neither,10-Jun,25,2,no,0.33,42,0:00,Having fun,Summer
4/3/17 15:56,CS,no,yes,mu,yes,male,fat,28/08/1993,24,5,no,88,8,0:00,nice whether,alcohol
4/3/17 15:56,CS,no,yes,mu,yes,male,neither,11/12/94,23,3,no,33,3,0:00,Nice weather,Alcohol
4/3/17 15:56,BA,yes,yes,mu,yes,male,other,25-11/1994,23,3,no,42,42,22:45,Sex,Boardgames
4/3/17 15:56,BA,yes,yes,mu,yes,female,neither,21-May-92,25,7,no,1,5,2:00,Breakfast,Activity
4/3/17 15:56,CS,no,no,mu,no,male,fat,23-07-1991,27,0,no,50,9.9,22:30,Good grades for study,Achieving what I wanted to achieve  
4/3/17 15:56,Other,no,no,mu,no,male,slim,26-09-1992,25,1,no,1,7,4:00,Ending it as a single man,Looking in the mirror
4/3/17 15:56,BA,yes,no,mu,no,male,neither,10/2/90,27,5,no,2,23,0:30,Sex,Sports
4/3/17 15:56,Econ,no,no,mu,yes,male,fat,5 mei 1994,23,80,no,100,7,0:00,Progress ,WINNING
4/3/17 15:56,Econ,no,unknown,mu,no,female,neither,11/6/93,24,8,no,0.3,100,0:15,Sun shine ,Data
4/3/17 15:56,BA,yes,unknown,mu,yes,female,fat,18-6,25,1,no,0.33,36,0:00,Sun,Rain
4/3/17 15:56,BA,yes,yes,mu,yes,female,neither,26-01-1995,22,3,no,1,8,0:30,Good night sleep,Food
4/3/17 15:56,CS,yes,yes,mu,yes,male,other,1996 jul 6,21,7,no,0.42,3,1:45,Happy people,Chocolate
4/3/17 15:56,CS,yes,yes,mu,yes,male,other,1996 jul 6,21,7,no,0.42,3,1:45,Happy people,Chocolate
4/3/17 15:56,BA,yes,yes,mu,yes,male,fat,26-02,25,1,no,0.33,2,3:36,Eat chocolate,Sleep in
4/3/17 15:56,BA,yes,no,mu,no,male,neither,30-07-1992,25,2,no,1,3,7:12,Good weather,Smile 
4/3/17 15:56,BA,yes,yes,mu,yes,female,neither,30-01-1995,22,6,no,0,7,23:00,Sunshine,Food
4/3/17 15:56,BA,no,no,mu,no,female,other,20-11-1994,23,2,no,2,20,0:00,Nice weather,To get a kiss
4/3/17 15:56,Other,no,yes,mu,no,male,slim,07-09-1899,25,2,no,2,7,23:45,Having a good hairday,Making new friends
4/3/17 15:56,Other,no,no,mu,no,male,fat,23/12,25,7,no,0.5,2,5:00,Good night sleep,No need for an alarm
4/3/17 15:56,Other,no,yes,mu,no,male,neither,6/12/93,24,0,no,0.5,42,1:00,Learning something interesting,Good food
4/3/17 15:56,BA,no,no,mu,no,male,slim,17.10.1991,26,5,no,33,8,1:00,Salary day,Apple
4/3/17 15:56,Econ,no,no,mu,no,male,neither,26-03-1993,24,4,no,0.33,3,10:48,Nice weather,-
4/3/17 15:56,CS,no,no,sigma,no,male,fat,19/01/1992,25,299,no,0.3,8,12:00,Getting an 8 grade in DM,Getting a 9 grade in DM
4/3/17 15:57,BA,yes,yes,mu,yes,female,neither,17-12-1994,23,7,no,40,3.14,0:00,Being with friends or family ,I have a good day when it's sunny outside 
4/3/17 15:57,Other,no,no,mu,no,female,fat,5/7/83,33,2,no,1,10,22:00,Hi,Rice pancake
4/3/17 15:57,Econ,no,unknown,mu,no,female,neither,20-07-1994,23,2,no,0,4,0:10,good weather,no stress
4/3/17 19:50,AI,yes,yes,mu,yes,female,slim,2/12/93,24,1,no,100,6,23:00,sunshine,beer